method,target_module,task_step,phase,dW_norm,dW_norm_over_dW1_norm,cos_dW1_dWt,n_tasks_in_merge,merged_norm_over_mean_individual_norm
dryrun_healthy,q_proj,1,pre_merge,0.6698176264762878,1.0,1.0,5,
dryrun_healthy,q_proj,2,pre_merge,0.7716552019119263,1.1520377658189973,-0.07724577933549881,5,
dryrun_healthy,q_proj,3,pre_merge,0.6685669422149658,0.9981327988218204,0.034600961953401566,5,
dryrun_healthy,q_proj,4,pre_merge,0.5456196665763855,0.8145794392523364,0.18529856204986572,5,
dryrun_healthy,q_proj,5,pre_merge,0.5603058934211731,0.8365051489743207,-0.10792580246925354,5,
dryrun_healthy,q_proj,MERGED,post_merge,0.2826380431652069,0.4219626835622137,0.47691723704338074,5,0.4394295555300816
dryrun_destructive_dilution,q_proj,1,pre_merge,0.645207941532135,1.0,1.0,5,
dryrun_destructive_dilution,q_proj,2,pre_merge,0.5805603265762329,0.899803441968821,-0.9984953999519348,5,
dryrun_destructive_dilution,q_proj,3,pre_merge,0.5805603265762329,0.899803441968821,-0.9984953999519348,5,
dryrun_destructive_dilution,q_proj,4,pre_merge,0.5805603265762329,0.899803441968821,-0.9984953999519348,5,
dryrun_destructive_dilution,q_proj,5,pre_merge,0.5805603265762329,0.899803441968821,-0.9984953999519348,5,
dryrun_destructive_dilution,q_proj,MERGED,post_merge,0.3356753885746002,0.5202592326707771,-0.9971177577972412,5,0.5655958376023944
