class_id,weight_max_abs_diff,bias_abs_diff,row_max_abs_diff
0,0.00024449825,0.0,0.00024449825
1,0.00025863573,0.0,0.00025863573
2,0.00024792552,0.0,0.00024792552
3,0.00024335086,0.0,0.00024335086
4,0.00024866313,0.0,0.00024866313
5,0.0002646707,0.0,0.0002646707
6,0.00027336925,0.0,0.00027336925
7,0.0002732873,0.0,0.0002732873
8,0.00025098026,0.0,0.00025098026
9,0.0002615191,0.0,0.0002615191
10,0.00027721003,0.0,0.00027721003
11,0.00025096536,0.0,0.00025096536
12,0.00025552884,0.0,0.00025552884
13,0.00025597215,0.0,0.00025597215
14,0.0002677031,0.0,0.0002677031
15,0.00027077645,0.0,0.00027077645
16,0.00026930124,0.0,0.00026930124
17,0.0002682805,0.0,0.0002682805
18,0.0002771169,0.0,0.0002771169
19,0.00024362653,0.0,0.00024362653
20,0.0002613254,0.0,0.0002613254
21,0.00026893616,0.0,0.00026893616
22,0.0002724044,0.0,0.0002724044
23,0.00027912855,0.0,0.00027912855
24,0.00026874244,0.0,0.00026874244
25,0.0002779737,0.0,0.0002779737
26,0.00027062744,0.0,0.00027062744
27,0.00030489266,0.0,0.00030489266
28,0.00027550384,0.0,0.00027550384
29,0.00029452145,0.0,0.00029452145
30,0.0002750419,0.0,0.0002750419
31,0.00027936697,0.0,0.00027936697
32,0.00028632954,0.0,0.00028632954
33,0.0002680272,0.0,0.0002680272
34,0.0002632402,0.0,0.0002632402
35,0.00027438253,0.0,0.00027438253
36,0.00029365718,0.0,0.00029365718
37,0.00027531013,0.0,0.00027531013
38,0.00028660148,0.0,0.00028660148
39,0.00026229024,0.0,0.00026229024
40,0.0002774857,0.0,0.0002774857
41,0.0002782233,0.0,0.0002782233
42,0.0002814345,0.0,0.0002814345
43,0.00026058406,0.0,0.00026058406
44,0.00026195124,0.0,0.00026195124
45,0.00026975945,0.0,0.00026975945
46,0.00027434528,0.0,0.00027434528
47,0.00026100874,0.0,0.00026100874
48,0.0002725236,0.0,0.0002725236
49,0.00028231367,0.0,0.00028231367
50,0.00027017295,0.0,0.00027017295
51,0.0002593659,0.0,0.0002593659
52,0.00026958063,0.0,0.00026958063
53,0.00029174984,0.0,0.00029174984
54,0.00027289987,0.0,0.00027289987
55,0.00027050078,0.0,0.00027050078
56,0.00026186928,0.0,0.00026186928
57,0.0002626516,0.0,0.0002626516
58,0.00028346851,0.0,0.00028346851
59,0.00026407465,0.0,0.00026407465
