method,step,orth_loss_type,orth_scale_mode,orth_target_ratio,lambda_orth,effective_lambda_mean,ce_loss_mean,orth_loss_raw_mean,orth_loss_abs_mean,orth_loss_squared_mean,orth_loss_used_mean,orth_contribution_mean,orth_contribution_ratio_mean,orth_contribution_ratio_from_means,mean_delta_norm,mean_previous_weight_norm,mean_cosine_alignment,raw_trace_unnormalized_mean,trace_loss_mean,qr_loss_mean,orth_loss_mean,use_ipc,lambda_ipc,ipc_loss_mean,ipc_protected_layers,total_loss_mean,logged_steps
rank_extension_orth_trace_lam_0_squared_trace,1,trace,squared_trace,0.0,0.0,0.0,0.563429830524918,-0.0008236079995149133,0.001699409308919064,5.110701846970752e-06,5.110701846970752e-06,0.0,0.0,0.0,0.5643174797168888,11.775283813476562,-0.0008236079995149133,-0.004679254841038339,5.110701846970752e-06,0.0,5.110701846970752e-06,False,0.0,0.0,0,0.563429830524918,2127
rank_extension_orth_trace_lam_0_squared_trace,2,trace,squared_trace,0.0,0.0,0.0,0.7312085959179389,-0.0006182207816455458,0.002038051555857945,6.832812284733625e-06,6.832812284733625e-06,0.0,0.0,0.0,0.45436452187247606,11.801737785339355,-0.0006182207816455458,-0.0027607663930531243,6.832812284733625e-06,0.1717532831504696,6.832812284733625e-06,False,0.0,0.0,0,0.7312085959179389,2127
rank_extension_orth_trace_lam_0_squared_trace,3,trace,squared_trace,0.0,0.0,0.0,0.8266157002083617,-0.00031690844734856734,0.001457757490304385,3.4704646998355103e-06,3.4704646998355103e-06,0.0,0.0,0.0,0.4238153586232774,11.819242477416992,-0.00031690844734856734,-0.0017554141601943101,3.4704646998355103e-06,0.1446972613603395,3.4704646998355103e-06,False,0.0,0.0,0,0.8266157002083617,2127
rank_extension_orth_trace_lam_0_squared_trace,4,trace,squared_trace,0.0,0.0,0.0,0.9219048700256419,-0.0009483513039181433,0.0023062834852223156,1.029889247769466e-05,1.029889247769466e-05,0.0,0.0,0.0,0.4388103339875965,11.83430290222168,-0.0009483513039181433,-0.008210277039298086,1.029889247769466e-05,0.14151338827991128,1.029889247769466e-05,False,0.0,0.0,0,0.9219048700256419,2127
rank_extension_orth_trace_lam_0_squared_trace,5,trace,squared_trace,0.0,0.0,0.0,0.7012633904639577,-0.0012623908949592987,0.0018967709950791856,6.1482799677380706e-06,6.1482799677380706e-06,0.0,0.0,0.0,0.459518537480626,11.849746704101562,-0.0012623908949592987,-0.010114756269031149,6.1482799677380706e-06,0.1460635159453653,6.1482799677380706e-06,False,0.0,0.0,0,0.7012633904639577,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.001,1,trace,auto_ratio,0.001,1.0,60.341626124497026,0.5600121684011631,-5.4538496064276135e-06,0.0004009490046289119,3.88335065845599e-06,0.0004009490046289119,0.0005515813758237834,0.000983936328068662,0.0009849453403817108,0.42456602098026053,11.775283813476562,-5.4538496064276135e-06,-0.00010390293804367337,3.88335065845599e-06,0.0,3.88335065845599e-06,False,0.0,0.0,0,0.5605637496907604,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.001,2,trace,auto_ratio,0.001,1.0,54.01617094910724,0.7457800765636106,1.0520068365829393e-05,0.0002542068994958537,3.2474491834775443e-06,0.0002542068994958537,0.0007333780520617459,0.0009844824128958272,0.0009833703998114156,0.3654627651884813,11.794100761413574,1.0520068365829393e-05,-5.412024408818586e-06,3.2474491834775443e-06,0.15031704625362627,3.2474491834775443e-06,False,0.0,0.0,0,0.7465134559468058,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.001,3,trace,auto_ratio,0.001,1.0,70.5801044554429,0.7875710203718231,-9.659780446935909e-06,0.0002517144433920631,3.2649121174104824e-06,0.0002517144433920631,0.0007710371706873426,0.0009675260254039773,0.0009790065286090965,0.35537256627960945,11.807711601257324,-9.659780446935909e-06,-6.723266691149362e-06,3.2649121174104824e-06,0.13950178303878857,3.2649121174104824e-06,False,0.0,0.0,0,0.7883420576896215,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.001,4,trace,auto_ratio,0.001,1.0,75.45078706671977,0.934062910461067,-2.7080415429728587e-06,0.0002626400101261146,3.1180952020273507e-06,0.0002626400101261146,0.0009149777919926694,0.0009698053841336253,0.0009795676305582278,0.3511839672417198,11.82062816619873,-2.7080415429728587e-06,3.210840388376272e-06,3.1180952020273507e-06,2.3924182510510485,3.1180952020273507e-06,False,0.0,0.0,0,0.9349778908483078,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.001,5,trace,auto_ratio,0.001,1.0,57.6923145702924,0.7155478708778797,-8.352559339352125e-06,0.00023703829575039451,2.284312388255418e-06,0.00023703829575039451,0.000701352231446207,0.00098571631621001,0.0009801611604067012,0.3674928020756235,11.83234691619873,-8.352559339352125e-06,-8.118453481524642e-06,2.284312388255418e-06,0.13171506036628172,2.284312388255418e-06,False,0.0,0.0,0,0.716249223256446,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,1,trace,auto_ratio,0.01,1.0,102.80325917940942,0.554850288705754,3.293203840535282e-06,0.00038331728310859173,3.5753266626463258e-06,0.00038331728310859173,0.005388803028874748,0.009344617588135883,0.00971217486692616,0.36277722766773224,11.775283813476562,3.293203840535282e-06,8.261036775470648e-06,3.5753266626463258e-06,0.0,3.5753266626463258e-06,False,0.0,0.0,0,0.5602390916150441,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,2,trace,auto_ratio,0.01,1.0,106.70431796804974,0.7922024424641021,-1.2099644625953323e-06,0.0003114779360283987,3.2395718651077843e-06,0.0003114779360283987,0.007736791404506065,0.009359637436836207,0.00976617969068765,0.33037202500850543,11.787908554077148,-1.2099644625953323e-06,-9.959833609696671e-06,3.2395718651077843e-06,0.13677420038738664,3.2395718651077843e-06,False,0.0,0.0,0,0.7999392343573596,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,3,trace,auto_ratio,0.01,1.0,123.46002894157975,0.8234513722286574,1.6414147001261827e-06,0.00031770494494130113,2.7309013628952033e-06,0.00031770494494130113,0.008000330137502999,0.009288102201571875,0.009715607268769542,0.3215210594738898,11.797961235046387,1.6414147001261827e-06,1.8855500895614138e-06,2.7309013628952033e-06,0.13114272389730827,2.7309013628952033e-06,False,0.0,0.0,0,0.8314517038034955,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,4,trace,auto_ratio,0.01,1.0,129.73170155026176,0.9245409432239918,8.63564100546433e-06,0.0003580162507920753,3.411238012824981e-06,0.0003580162507920753,0.008987682762227221,0.009282205787714142,0.009721238229738131,0.32428231731412416,11.807126998901367,8.63564100546433e-06,-5.80546167651419e-06,3.411238012824981e-06,2.423324558731531,3.411238012824981e-06,False,0.0,0.0,0,0.9335286248480568,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,5,trace,auto_ratio,0.01,1.0,103.4030158054285,0.7551735796570274,-5.888579357760475e-06,0.0003121705769666925,2.845838450646376e-06,0.0003121705769666925,0.007397237918802636,0.00937802246334116,0.009795414085013667,0.33606807583814335,11.816442489624023,-5.888579357760475e-06,-9.508575509162212e-06,2.845838450646376e-06,0.12438484840007472,2.845838450646376e-06,False,0.0,0.0,0,0.7625708167227077,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,1,trace,auto_ratio,0.05,1.0,204.51735383989558,0.6186104001127951,9.09243204280622e-06,0.0003710755602592015,3.5454211968844165e-06,0.0003710755602592015,0.029842801330123295,0.04543681793743198,0.048241674121032994,0.3331215877956545,11.775283813476562,9.09243204280622e-06,1.4471257864992582e-05,3.5454211968844165e-06,0.0,3.5454211968844165e-06,False,0.0,0.0,0,0.6484532024206521,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,2,trace,auto_ratio,0.05,1.0,224.02856352769774,0.9625171482016572,-4.003792646548729e-06,0.0003340418426511358,2.4248987017245805e-06,0.0003340418426511358,0.04677956578865745,0.04534549143528784,0.04860128037828646,0.3130648338134017,11.78419303894043,-4.003792646548729e-06,-7.62129245407336e-06,2.4248987017245805e-06,0.1174944643514449,2.4248987017245805e-06,False,0.0,0.0,0,1.0092967142968132,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,3,trace,auto_ratio,0.05,1.0,249.11771200596587,1.0115473524233407,-2.275790650818213e-06,0.0003457837274193066,2.7371292490063774e-06,0.0003457837274193066,0.049030587615741264,0.04474174724031549,0.04847087731313795,0.3103778654076032,11.791580200195312,-2.275790650818213e-06,-1.515616264307889e-05,2.7371292490063774e-06,0.11842089879523995,2.7371292490063774e-06,False,0.0,0.0,0,1.060577940321026,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,4,trace,auto_ratio,0.05,1.0,278.7678334259012,1.1902094366380067,-6.451067325886249e-06,0.0003976723701378729,3.6272446420961058e-06,0.0003976723701378729,0.05760032685102881,0.04421250386613483,0.04839511860511951,0.3116050239349144,11.798810958862305,-6.451067325886249e-06,-7.577375459622234e-07,3.6272446420961058e-06,2.462739856129921,3.6272446420961058e-06,False,0.0,0.0,0,1.2478097631032505,2127
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,5,trace,auto_ratio,0.05,1.0,199.04398641327933,0.9763000810936576,3.3267986720450388e-06,0.00035648377111095167,2.9400384159686685e-06,0.00035648377111095167,0.0478846152955144,0.045813136076754454,0.049047025830289546,0.3229394121450096,11.806268692016602,3.3267986720450388e-06,7.059054206845467e-06,2.9400384159686685e-06,0.11373311694191272,2.9400384159686685e-06,False,0.0,0.0,0,1.0241846936710222,2127
