method,target_module,task_step,phase,dW_norm,dW_norm_over_dW1_norm,cos_dW1_dWt,n_tasks_in_merge,merged_norm_over_mean_individual_norm
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,1,pre_merge,0.6183383464813232,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,2,pre_merge,0.4877879023551941,0.7888689180138493,0.012411867268383503,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,3,pre_merge,0.4650259017944336,0.7520573557190499,0.01797580160200596,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,4,pre_merge,0.49961262941360474,0.8079923107739776,0.013637655414640903,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,5,pre_merge,0.6793493628501892,1.0986693073720097,0.030866239219903946,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.k_proj,MERGED,post_merge,0.2893012464046478,0.4678688424402708,0.4566468298435211,5,0.5259804345795843
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,1,pre_merge,0.538601815700531,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,2,pre_merge,0.46490633487701416,0.8631726097550098,0.007200286258012056,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,3,pre_merge,0.468833327293396,0.8704636962346834,0.003970774356275797,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,4,pre_merge,0.4831330180168152,0.8970133481418542,0.009459661319851875,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,5,pre_merge,0.5723787546157837,1.0627122633653228,0.00661833630874753,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.out_proj,MERGED,post_merge,0.2466665804386139,0.45797576845853677,0.44770917296409607,5,0.4878973500330344
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,1,pre_merge,0.623189389705658,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,2,pre_merge,0.49846693873405457,0.7998642900025758,0.017080841585993767,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,3,pre_merge,0.47843223810195923,0.7677156350943816,0.010290692560374737,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,4,pre_merge,0.5150585770606995,0.8264880397016542,0.026758581399917603,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,5,pre_merge,0.6831821203231812,1.09626725295477,0.005345426965504885,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.q_proj,MERGED,post_merge,0.27442964911460876,0.44036316029742767,0.4766746759414673,5,0.49034552983524415
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,1,pre_merge,0.5190502405166626,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,2,pre_merge,0.4401843249797821,0.8480572603947214,0.008530374616384506,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,3,pre_merge,0.46498119831085205,0.8958308117688372,0.005593559704720974,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,4,pre_merge,0.4428793489933014,0.8532494822706551,0.007081849500536919,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,5,pre_merge,0.5625755190849304,1.08385561776244,0.016357991844415665,5,
simple_avg,vision_model.vision_model.encoder.layers.0.self_attn.v_proj,MERGED,post_merge,0.24588598310947418,0.47372289600467055,0.43739771842956543,5,0.506006822247047
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,1,pre_merge,0.5556905269622803,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,2,pre_merge,0.43561896681785583,0.7839236871630623,0.011325246654450893,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,3,pre_merge,0.4513416588306427,0.8122176588072003,0.01574387028813362,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,4,pre_merge,0.4562108516693115,0.8209800771001422,0.027445638552308083,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,5,pre_merge,0.5534693002700806,0.9960027630768835,0.027488062158226967,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.k_proj,MERGED,post_merge,0.25435248017311096,0.45772326111720124,0.4682244658470154,5,0.5185932253549376
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,1,pre_merge,0.5248542428016663,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,2,pre_merge,0.4213947653770447,0.8028796016350063,0.006551179103553295,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,3,pre_merge,0.4535037577152252,0.8640565717720544,0.010772482492029667,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,4,pre_merge,0.4508257806301117,0.8589542464658542,0.007063030265271664,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,5,pre_merge,0.5429288744926453,1.0344374308465085,0.013154910877346992,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.out_proj,MERGED,post_merge,0.24073684215545654,0.4586737088575409,0.45097628235816956,5,0.5028955415839038
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,1,pre_merge,0.5976857542991638,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,2,pre_merge,0.4736446440219879,0.7924643353385185,0.007978376932442188,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,3,pre_merge,0.5171346664428711,0.8652283624347956,0.005676645785570145,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,4,pre_merge,0.49906259775161743,0.8349916225405268,0.02143743447959423,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,5,pre_merge,0.6261062026023865,1.0475508209770668,0.014976530335843563,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.q_proj,MERGED,post_merge,0.2711673378944397,0.4536955012628767,0.4605889320373535,5,0.49963877105920024
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,1,pre_merge,0.5092706680297852,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,2,pre_merge,0.43912023305892944,0.8622531408646671,0.00825271476060152,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,3,pre_merge,0.426198810338974,0.8368807337516784,0.011315851472318172,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,4,pre_merge,0.426876038312912,0.8382105334367024,0.007916562259197235,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,5,pre_merge,0.5250458121299744,1.0309759526524833,0.0016117384657263756,5,
simple_avg,vision_model.vision_model.encoder.layers.1.self_attn.v_proj,MERGED,post_merge,0.23961567878723145,0.4705075195361876,0.4356536865234375,5,0.5149677369206244
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,1,pre_merge,0.6406691074371338,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,2,pre_merge,0.5654312968254089,0.882563698267428,0.007718781940639019,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,3,pre_merge,0.5910036563873291,0.9224787796488562,0.0071072145365178585,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,4,pre_merge,0.604809582233429,0.9440280094865919,-0.0020752486307173967,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,5,pre_merge,0.7046629786491394,1.099885994921778,0.009701913222670555,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.k_proj,MERGED,post_merge,0.2941582500934601,0.45914224157019246,0.4452165365219116,5,0.4734443825633939
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,1,pre_merge,0.6916444301605225,1.0,1.0,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,2,pre_merge,0.6126618981361389,0.8858047161515453,0.015074677765369415,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,3,pre_merge,0.5864472985267639,0.8479028716976098,0.012660732492804527,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,4,pre_merge,0.5857443809509277,0.8468865726497405,0.014457188546657562,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,5,pre_merge,0.7693243622779846,1.1123119463268627,0.012960885651409626,5,
simple_avg,vision_model.vision_model.encoder.layers.10.self_attn.out_proj,MERGED,post_merge,0.31256330013275146,0.45191327581458185,0.4650263488292694,5,0.48148552893193525
